date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-03-03,0,0,0,0,0,,,,,,,,
2020-03-04,1,0,0,0,1,1.0,0.0,,,,,,
2020-03-05,1,0,0,0,1,0.0,0.0,,,,,,
2020-03-06,5,0,0,0,5,4.0,0.0,1.6666666666666667,,,,,
2020-03-07,6,0,0,0,6,1.0,0.0,1.6666666666666667,,,,,
2020-03-08,11,0,0,0,11,5.0,0.0,3.333333333333333,,,,,
2020-03-09,17,0,0,0,17,6.0,0.0,4.0,,,,,
2020-03-10,22,0,0,0,22,5.0,0.0,5.333333333333333,3.1428571428571432,,0.0,,
2020-03-11,31,0,0,0,31,9.0,0.0,6.666666666666668,4.285714285714286,,0.0,,
2020-03-12,51,1,0,1,50,20.0,1.0,11.333333333333336,7.142857142857142,,0.14285714285714285,,
2020-03-13,68,2,0,2,66,17.0,1.0,15.333333333333336,9.0,,0.2857142857142857,,
2020-03-14,104,3,0,3,101,36.0,1.0,24.33333333333333,14.0,,0.42857142857142855,,
2020-03-15,125,3,0,3,122,21.0,0.0,24.66666666666667,16.285714285714285,,0.42857142857142855,,
2020-03-16,177,4,0,4,173,52.0,1.0,36.333333333333336,22.857142857142854,,0.5714285714285714,,0.26530612244897955
2020-03-17,238,5,1,6,232,61.0,1.0,44.66666666666666,30.857142857142854,17.0,0.7142857142857143,0.35714285714285715,0.36734693877551017
2020-03-18,287,5,1,6,281,49.0,0.0,54.0,36.57142857142857,20.428571428571427,0.7142857142857143,0.35714285714285715,0.4693877551020408
2020-03-19,355,5,1,6,349,68.0,0.0,59.33333333333334,43.42857142857143,25.285714285714285,0.5714285714285714,0.35714285714285715,0.5306122448979591
2020-03-20,425,5,1,6,419,70.0,0.0,62.33333333333334,51.0,30.0,0.42857142857142855,0.35714285714285715,0.5510204081632653
2020-03-21,536,5,1,6,530,111.0,0.0,83.0,61.714285714285715,37.857142857142854,0.2857142857142857,0.35714285714285715,0.5306122448979591
2020-03-22,634,7,1,8,626,98.0,2.0,93.0,72.71428571428571,44.5,0.5714285714285714,0.5,0.5510204081632654
2020-03-23,749,8,1,9,740,115.0,1.0,108.0,81.71428571428571,52.28571428571429,0.5714285714285714,0.5714285714285714,0.5510204081632654
2020-03-24,901,10,1,11,890,152.0,2.0,121.66666666666669,94.71428571428572,62.78571428571429,0.7142857142857143,0.7142857142857143,0.5510204081632654
2020-03-25,1051,13,1,14,1037,150.0,3.0,139.0,109.14285714285714,72.85714285714286,1.1428571428571428,0.9285714285714286,0.6122448979591837
2020-03-26,1221,16,1,17,1204,170.0,3.0,157.33333333333334,123.71428571428572,83.57142857142857,1.5714285714285714,1.0714285714285714,0.7551020408163265
2020-03-27,1389,16,1,17,1372,168.0,0.0,162.66666666666666,137.71428571428572,94.35714285714286,1.5714285714285714,1.0,0.9183673469387754
